prefix	base	ontology IRI	version IRI
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#		
rdfs	http://www.w3.org/2000/01/rdf-schema#		
xsd	http://www.w3.org/2001/XMLSchema#		
owl	http://www.w3.org/2002/07/owl#		
dc	http://purl.org/dc/terms/		
oio	http://www.geneontology.org/formats/oboInOwl#		
BFO	http://purl.obolibrary.org/obo/BFO_		
COB	http://purl.obolibrary.org/obo/COB_		
CHEBI	http://purl.obolibrary.org/obo/CHEBI_		
CL	http://purl.obolibrary.org/obo/CL_		
DOID	http://purl.obolibrary.org/obo/DOID_		
GO	http://purl.obolibrary.org/obo/GO_		
IAO	http://purl.obolibrary.org/obo/IAO_		
IDO	http://purl.obolibrary.org/obo/IDO_		
NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_		
NCIT	http://purl.obolibrary.org/obo/NCIT_		
OBI	http://purl.obolibrary.org/obo/OBI_		
OGMS	http://purl.obolibrary.org/obo/OGMS_		
PATO	http://purl.obolibrary.org/obo/PATO_		
PR	http://purl.obolibrary.org/obo/PR_		
STATO	http://purl.obolibrary.org/obo/STATO_		
SYMP	http://purl.obolibrary.org/obo/SYMP_		
UBERON	http://purl.obolibrary.org/obo/UBERON_		
UO	http://purl.obolibrary.org/obo/UO_		
VO	http://purl.obolibrary.org/obo/VO_		
ONTIE	https://ontology.iedb.org/ontology/ONTIE_		
faldo	http://biohackathon.org/resource/faldo#		
uniprot	https://www.uniprot.org/uniprot/		
uniprot_annotation	http://purl.uniprot.org/annotation/		
uniprot_core	http://purl.uniprot.org/core/		
uniprot_protein	http://purl.uniprot.org/uniprot/		
skos	http://www.w3.org/2004/02/skos/core#		